"DETAILED_FUTURE_REGEN","First Name","Common Name","Last Name","Birth date","Nation","Favourite Team","Ethnicity","Skin Tone","Hair Colour","Height(in cm)","Weight(in kg)","Preferred Foot","Preferred Position","Favourite Number","Birth City","CA","PA","Club ID"
"DETAILED_FUTURE_REGEN","Jingxin","Ji Jingxin","Ji","01/01/2005","110","","10","8","5","178","74","2","ATTACKER_CENTRAL","","128046","96","-7","814086"
"DETAILED_FUTURE_REGEN","Jiafeng","Li Jiafeng","Li","03/02/2005","110","","10","8","5","191","82","2","GOALKEEPER","","128055","96","-7","62123106"
"DETAILED_FUTURE_REGEN","Enze","Song Enze","Song","01/09/2005","110","","10","8","5","181","74","2","MIDFIELDER_CENTRAL","","128057","96","-7","55001196"
"DETAILED_FUTURE_REGEN","Fangze","Ning Fangze","Ning","11/09/2005","110","","10","6","5","178","69","3","ATTACKER_CENTRAL","","5627428","96","-7","788904"
"DETAILED_FUTURE_REGEN","Han","Yu Han","Yu","20/09/2005","110","","10","7","5","176","68","2","MIDFIELDER_CENTRAL","","128057","96","-7","8875762"
"DETAILED_FUTURE_REGEN","Jincheng","Liu Jincheng","Liu","09/01/2006","110","","10","7","5","175","69","2","MIDFIELDER_CENTRAL","","128046","96","-7","4212153"
"DETAILED_FUTURE_REGEN","Haowen","Wang Haowen","Wang","17/02/2006","110","","10","7","5","185","78","2","DEFENDER_CENTRAL","","131231","96","-7","1714"
"DETAILED_FUTURE_REGEN","Haozhou","Sun Haozhou","Sun","01/01/2008","110","","10","8","5","181","73","2","DEFENDER_RIGHT_SIDE","","128055","96","-7","4203009"
"DETAILED_FUTURE_REGEN","José Antonio","Ximénez","Jiménez","10/02/2008","796","","1","8","3","174","73","3","ATTACKING_MIDFIELDER_LEFT_SIDE","","383","99","-9","1717"
"DETAILED_FUTURE_REGEN","Isaac","Isaac Chin","Tortola","21/02/2008","110","","10","7","5","182","76","3","ATTACKING_MIDFIELDER_CENTRAL","","491","96","-7","2006962"
"DETAILED_FUTURE_REGEN","Haoran","Zhang Haoran","Zhang","20/05/2008","110","","10","7","5","176","69","3","MIDFIELDER_CENTRAL","","131171","96","-7","67128847"
"DETAILED_FUTURE_REGEN","Jiale","Qu Jiale","Qu","11/06/2008","110","","10","8","5","176","74","3","MIDFIELDER_CENTRAL","","1016689","96","-7","4212118"
"DETAILED_FUTURE_REGEN","Holger","","Nachtegall","14/06/2008","764","","0","5","5","176","73","2","DEFENDER_RIGHT_SIDE","","131","99","-9","483"
